id,Salary_Changes
0,0
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,0
241,1
242,0
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,0
333,1
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,1
370,1
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,0
387,0
388,1
389,0
390,1
391,1
392,0
393,1
394,0
395,0
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,1
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,1
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,0
519,1
520,1
521,0
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,0
